,pred,label
0,1,0
1,1,0
2,3,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,4
23,1,2
24,3,2
25,3,2
26,3,2
27,1,2
28,3,2
29,1,2
30,1,2
31,1,2
32,1,2
33,1,2
34,1,2
35,1,2
36,1,2
37,1,2
38,1,2
39,1,2
40,3,2
41,1,2
42,3,2
43,1,2
44,1,2
45,3,2
46,1,2
47,1,2
48,1,2
49,1,2
50,1,2
51,1,2
52,1,2
53,1,2
54,1,2
55,1,2
56,1,2
57,1,2
58,3,2
59,1,2
60,1,2
61,1,2
62,0,2
63,1,2
64,1,2
65,1,2
66,1,2
67,1,2
68,3,2
69,1,2
70,1,2
71,1,2
72,1,2
73,1,2
74,1,2
75,1,2
76,1,2
77,1,2
78,3,2
79,1,2
80,3,2
81,1,2
82,1,2
83,1,2
84,1,2
85,3,2
86,1,2
87,1,2
88,1,2
89,3,2
90,1,2
91,1,2
92,3,2
93,1,2
94,1,2
95,1,2
96,3,2
97,1,2
98,1,2
99,1,2
100,3,2
101,1,2
102,1,2
103,1,2
104,1,2
105,1,2
106,1,1
107,1,1
108,1,1
109,1,1
110,3,1
111,1,1
112,1,1
113,1,1
114,1,1
115,1,1
116,1,1
117,1,1
118,1,1
119,1,1
120,1,1
121,1,1
122,3,1
123,1,1
124,1,1
125,1,1
126,1,1
127,1,1
128,3,1
129,1,1
130,3,1
131,1,1
132,1,1
133,1,1
134,1,1
135,1,1
136,1,1
137,1,1
138,1,1
139,1,1
140,1,1
141,3,1
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,1,1
149,1,1
150,3,1
151,1,1
152,1,1
153,1,1
154,1,4
155,1,4
156,1,4
157,1,4
158,1,4
159,1,4
160,1,4
161,1,4
162,1,4
163,1,2
164,1,2
165,1,1
166,1,1
167,1,0
168,1,0
169,1,0
170,1,0
171,1,0
172,1,0
173,1,0
174,1,0
175,3,0
176,1,0
177,1,0
178,1,0
179,1,0
180,1,0
181,1,0
182,1,0
183,1,0
184,1,0
185,1,0
186,1,0
187,1,0
188,1,0
189,1,0
190,1,0
191,1,0
192,1,0
193,1,0
194,3,0
195,3,0
196,1,0
197,1,0
198,1,0
199,1,0
200,1,0
201,1,0
202,1,0
203,1,0
204,1,0
205,1,0
206,1,0
207,1,0
208,1,2
